=== SIGNAL-ONLY TRACE: ACCUMULATION ===

============================================================================================================================================
 ACCOUNT: Islam
============================================================================================================================================
Gap #001 | CurLen: 146 | Prev1:  82 | Prev2:   0 | Bets: 53 | Result: LATE HIT
    T-23 | SEQ: 68230 | POS: 77 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T-22 | SEQ: 68231 | POS: 78 | [V5_EARLY_S  ] | [attack  |shield  |goldSack]
    T-21 | SEQ: 68232 | POS: 79 | [V5_EARLY_S  ] | [coin    |steal   |spins   ]
    T-20 | SEQ: 68233 | POS: 80 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T-19 | SEQ: 68234 | POS: 81 | [V5_EARLY_S  ] | [steal   |steal   |steal   ]
    T-18 | SEQ: 68235 | POS: 82 | [V5_EARLY_S  ] | [attack  |coin    |shield  ]
    T-17 | SEQ: 68236 | POS: 83 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-16 | SEQ: 68237 | POS: 84 | [V5_EARLY_S  ] | [shield  |shield  |shield  ]
    T-15 | SEQ: 68238 | POS: 85 | [V5_EARLY_S  ] | [coin    |steal   |spins   ]
    T-14 | SEQ: 68239 | POS: 86 | [V5_EARLY_S  ] | [coin    |coin    |spins   ]
    T-13 | SEQ: 68240 | POS: 87 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T-12 | SEQ: 68241 | POS: 88 | [V5_EARLY_S  ] | [attack  |coin    |shield  ]
    T-11 | SEQ: 68242 | POS: 89 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T-10 | SEQ: 68243 | POS: 90 | [V5_EARLY_S  ] | [attack  |spins   |goldSack]
    T-09 | SEQ: 68244 | POS: 91 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-08 | SEQ: 68245 | POS: 92 | [V5_EARLY_S  ] | [coin    |steal   |spins   ]
    T-07 | SEQ: 68246 | POS: 93 | [V5_EARLY_S  ] | [coin    |coin    |steal   ]
    T-06 | SEQ: 68247 | POS: 94 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T-05 | SEQ: 68248 | POS: 95 | [V5_EARLY_S  ] | [coin    |steal   |spins   ]
    T-04 | SEQ: 68249 | POS: 96 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-03 | SEQ: 68250 | POS: 97 | [V5_EARLY_S  ] | [attack  |spins   |goldSack]
    T-02 | SEQ: 68251 | POS: 98 | [V5_EARLY_S  ] | [attack  |coin    |shield  ]
    T-01 | SEQ: 68252 | POS: 99 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 68253 | POS:100 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 68254 | POS:101 | [V5_EARLY_S  ] | [coin    |steal   |spins   ]
    T+02 | SEQ: 68255 | POS:102 | [V5_EARLY_S  ] | [attack  |attack  |goldSack]
    T+03 | SEQ: 68256 | POS:103 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T+04 | SEQ: 68257 | POS:104 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+05 | SEQ: 68258 | POS:105 | [V5_EARLY_S  ] | [attack  |coin    |shield  ]
    T+06 | SEQ: 68259 | POS:106 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+07 | SEQ: 68260 | POS:107 | [   WAITING  ] | [coin    |steal   |steal   ]
    T+08 | SEQ: 68261 | POS:108 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+09 | SEQ: 68262 | POS:109 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+10 | SEQ: 68263 | POS:110 | [   WAITING  ] | [coin    |spins   |spins   ]
    T+11 | SEQ: 68264 | POS:111 | [   WAITING  ] | [attack  |shield  |goldSack]
    T+12 | SEQ: 68265 | POS:112 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+13 | SEQ: 68266 | POS:113 | [   WAITING  ] | [coin    |spins   |spins   ]
    T+14 | SEQ: 68267 | POS:114 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+15 | SEQ: 68268 | POS:115 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+16 | SEQ: 68269 | POS:116 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+17 | SEQ: 68270 | POS:117 | [   WAITING  ] | [attack  |steal   |goldSack]
    T+18 | SEQ: 68271 | POS:118 | [   WAITING  ] | [coin    |coin    |spins   ]
    T+19 | SEQ: 68272 | POS:119 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+20 | SEQ: 68273 | POS:120 | [R02_IDEAL_RA] | [accumula|accumula|coin    ]
    T+21 | SEQ: 68274 | POS:121 | [R02_IDEAL_RA] | [steal   |spins   |goldSack]
    T+22 | SEQ: 68275 | POS:122 | [R02_IDEAL_RA] | [goldSack|goldSack|goldSack]
    T+23 | SEQ: 68276 | POS:123 | [R02_IDEAL_RA] | [attack  |spins   |goldSack]
    T+24 | SEQ: 68277 | POS:124 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+25 | SEQ: 68278 | POS:125 | [   WAITING  ] | [coin    |coin    |coin    ] <--- *SUB-DUP*
    T+26 | SEQ: 68279 | POS:126 | [R02_IDEAL_RA] | [accumula|goldSack|goldSack]
    T+27 | SEQ: 68280 | POS:127 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+28 | SEQ: 68281 | POS:128 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+29 | SEQ: 68282 | POS:129 | [   WAITING  ] | [attack  |coin    |shield  ]
    T+30 | SEQ: 68283 | POS:130 | [V5_QUIET    ] | [attack  |spins   |goldSack]
    T+31 | SEQ: 68284 | POS:131 | [V5_QUIET    ] | [attack  |attack  |goldSack]
    T+32 | SEQ: 68285 | POS:132 | [   WAITING  ] | [attack  |coin    |shield  ]
    T+33 | SEQ: 68286 | POS:133 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+34 | SEQ: 68287 | POS:134 | [   WAITING  ] | [coin    |coin    |spins   ]
    T+35 | SEQ: 68288 | POS:135 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+36 | SEQ: 68289 | POS:136 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+37 | SEQ: 68290 | POS:137 | [   WAITING  ] | [coin    |spins   |spins   ]
    T+38 | SEQ: 68291 | POS:138 | [   WAITING  ] | [attack  |coin    |shield  ]
    T+39 | SEQ: 68292 | POS:139 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+40 | SEQ: 68293 | POS:140 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+41 | SEQ: 68294 | POS:141 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+42 | SEQ: 68295 | POS:142 | [   WAITING  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+43 | SEQ: 68296 | POS:143 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+44 | SEQ: 68297 | POS:144 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+45 | SEQ: 68298 | POS:145 | [   WAITING  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+46 | SEQ: 68299 | POS:146 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #002 | CurLen:  21 | Prev1: 146 | Prev2:  82 | Bets: 0 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 68314 | POS: 15 | [   WAITING  ] | [accumula|accumula|goldSack]
    T-04 | SEQ: 68315 | POS: 16 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-03 | SEQ: 68316 | POS: 17 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-02 | SEQ: 68317 | POS: 18 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-01 | SEQ: 68318 | POS: 19 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+00 | SEQ: 68319 | POS: 20 | [   WAITING  ] | [attack  |spins   |goldSack] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 68320 | POS: 21 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #004 | CurLen: 149 | Prev1:  59 | Prev2:  21 | Bets: 10 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 68517 | POS:138 | [V5_QUIET    ] | [accumula|goldSack|goldSack]
    T-04 | SEQ: 68518 | POS:139 | [   WAITING  ] | [shield  |shield  |shield  ]
    T-03 | SEQ: 68519 | POS:140 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-02 | SEQ: 68520 | POS:141 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-01 | SEQ: 68521 | POS:142 | [   WAITING  ] | [attack  |steal   |goldSack]
    T+00 | SEQ: 68522 | POS:143 | [   WAITING  ] | [attack  |steal   |goldSack] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 68523 | POS:144 | [   WAITING  ] | [shield  |shield  |shield  ]
    T+02 | SEQ: 68524 | POS:145 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+03 | SEQ: 68525 | POS:146 | [   WAITING  ] | [spins   |spins   |spins   ]
    T+04 | SEQ: 68526 | POS:147 | [   WAITING  ] | [spins   |spins   |spins   ]
    T+05 | SEQ: 68527 | POS:148 | [   WAITING  ] | [attack  |coin    |spins   ]
    T+06 | SEQ: 68528 | POS:149 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #005 | CurLen:  46 | Prev1: 149 | Prev2:  59 | Bets: 0 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 68568 | POS: 40 | [   WAITING  ] | [coin    |spins   |spins   ]
    T-04 | SEQ: 68569 | POS: 41 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-03 | SEQ: 68570 | POS: 42 | [   WAITING  ] | [spins   |spins   |spins   ]
    T-02 | SEQ: 68571 | POS: 43 | [   WAITING  ] | [steal   |steal   |goldSack]
    T-01 | SEQ: 68572 | POS: 44 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+00 | SEQ: 68573 | POS: 45 | [   WAITING  ] | [coin    |coin    |coin    ] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 68574 | POS: 46 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #007 | CurLen: 151 | Prev1:  87 | Prev2:  46 | Bets: 49 | Result: LATE HIT
    T-29 | SEQ: 68718 | POS: 57 | [   WAITING  ] | [attack  |steal   |goldSack]
    T-28 | SEQ: 68719 | POS: 58 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-27 | SEQ: 68720 | POS: 59 | [   WAITING  ] | [coin    |spins   |spins   ]
    T-26 | SEQ: 68721 | POS: 60 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T-25 | SEQ: 68722 | POS: 61 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-24 | SEQ: 68723 | POS: 62 | [V5_EARLY_S  ] | [attack  |attack  |attack  ]
    T-23 | SEQ: 68724 | POS: 63 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-22 | SEQ: 68725 | POS: 64 | [   WAITING  ] | [attack  |steal   |goldSack]
    T-21 | SEQ: 68726 | POS: 65 | [V5_EARLY_S  ] | [coin    |steal   |steal   ]
    T-20 | SEQ: 68727 | POS: 66 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-19 | SEQ: 68728 | POS: 67 | [V5_EARLY_S  ] | [attack  |coin    |shield  ]
    T-18 | SEQ: 68729 | POS: 68 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-17 | SEQ: 68730 | POS: 69 | [V5_EARLY_S  ] | [attack  |coin    |coin    ]
    T-16 | SEQ: 68731 | POS: 70 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T-15 | SEQ: 68732 | POS: 71 | [V5_EARLY_S  ] | [shield  |shield  |shield  ]
    T-14 | SEQ: 68733 | POS: 72 | [V5_EARLY_S  ] | [steal   |spins   |goldSack]
    T-13 | SEQ: 68734 | POS: 73 | [V5_EARLY_S  ] | [attack  |steal   |goldSack]
    T-12 | SEQ: 68735 | POS: 74 | [V5_EARLY_S  ] | [steal   |steal   |steal   ]
    T-11 | SEQ: 68736 | POS: 75 | [V5_EARLY_S  ] | [coin    |spins   |spins   ]
    T-10 | SEQ: 68737 | POS: 76 | [V5_EARLY_S  ] | [coin    |steal   |steal   ]
    T-09 | SEQ: 68738 | POS: 77 | [V5_EARLY_S  ] | [attack  |attack  |coin    ]
    T-08 | SEQ: 68739 | POS: 78 | [V5_EARLY_S  ] | [attack  |attack  |attack  ]
    T-07 | SEQ: 68740 | POS: 79 | [V5_EARLY_S  ] | [coin    |steal   |steal   ]
    T-06 | SEQ: 68741 | POS: 80 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T-05 | SEQ: 68742 | POS: 81 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T-04 | SEQ: 68743 | POS: 82 | [V5_EARLY_S  ] | [attack  |attack  |attack  ]
    T-03 | SEQ: 68744 | POS: 83 | [V5_EARLY_S  ] | [coin    |coin    |steal   ]
    T-02 | SEQ: 68745 | POS: 84 | [V5_EARLY_S  ] | [attack  |spins   |goldSack]
    T-01 | SEQ: 68746 | POS: 85 | [V5_EARLY_S  ] | [coin    |coin    |steal   ]
    T+00 | SEQ: 68747 | POS: 86 | [V5_EARLY_S  ] | [coin    |coin    |steal   ] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 68748 | POS: 87 | [V5_EARLY_S  ] | [attack  |spins   |goldSack]
    T+02 | SEQ: 68749 | POS: 88 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+03 | SEQ: 68750 | POS: 89 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+04 | SEQ: 68751 | POS: 90 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T+05 | SEQ: 68752 | POS: 91 | [V5_EARLY_S  ] | [coin    |coin    |steal   ]
    T+06 | SEQ: 68753 | POS: 92 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+07 | SEQ: 68754 | POS: 93 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+08 | SEQ: 68755 | POS: 94 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+09 | SEQ: 68756 | POS: 95 | [V5_EARLY_S  ] | [attack  |attack  |coin    ]
    T+10 | SEQ: 68757 | POS: 96 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+11 | SEQ: 68758 | POS: 97 | [V5_EARLY_S  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+12 | SEQ: 68759 | POS: 98 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+13 | SEQ: 68760 | POS: 99 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T+14 | SEQ: 68761 | POS:100 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+15 | SEQ: 68762 | POS:101 | [   WAITING  ] | [attack  |attack  |coin    ]
    T+16 | SEQ: 68763 | POS:102 | [V5_EARLY_S  ] | [coin    |spins   |spins   ]
    T+17 | SEQ: 68764 | POS:103 | [V5_EARLY_S  ] | [attack  |coin    |shield  ]
    T+18 | SEQ: 68765 | POS:104 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+19 | SEQ: 68766 | POS:105 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T+20 | SEQ: 68767 | POS:106 | [   WAITING  ] | [accumula|accumula|coin    ] <--- *SUB-DUP*
    T+21 | SEQ: 68768 | POS:107 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+22 | SEQ: 68769 | POS:108 | [   WAITING  ] | [coin    |steal   |steal   ]
    T+23 | SEQ: 68770 | POS:109 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+24 | SEQ: 68771 | POS:110 | [R01_COMBO   ] | [attack  |coin    |shield  ]
    T+25 | SEQ: 68772 | POS:111 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+26 | SEQ: 68773 | POS:112 | [R01_COMBO   ] | [coin    |coin    |steal   ]
    T+27 | SEQ: 68774 | POS:113 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T+28 | SEQ: 68775 | POS:114 | [R01_COMBO   ] | [coin    |coin    |coin    ]
    T+29 | SEQ: 68776 | POS:115 | [   WAITING  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+30 | SEQ: 68777 | POS:116 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+31 | SEQ: 68778 | POS:117 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+32 | SEQ: 68779 | POS:118 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+33 | SEQ: 68780 | POS:119 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+34 | SEQ: 68781 | POS:120 | [   WAITING  ] | [attack  |steal   |goldSack]
    T+35 | SEQ: 68782 | POS:121 | [   WAITING  ] | [steal   |spins   |goldSack]
    T+36 | SEQ: 68783 | POS:122 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+37 | SEQ: 68784 | POS:123 | [   WAITING  ] | [coin    |shield  |shield  ]
    T+38 | SEQ: 68785 | POS:124 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+39 | SEQ: 68786 | POS:125 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+40 | SEQ: 68787 | POS:126 | [   WAITING  ] | [steal   |spins   |goldSack]
    T+41 | SEQ: 68788 | POS:127 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+42 | SEQ: 68789 | POS:128 | [   WAITING  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+43 | SEQ: 68790 | POS:129 | [   WAITING  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] <--- *SUB-DUP*
    T+44 | SEQ: 68791 | POS:130 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+45 | SEQ: 68792 | POS:131 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+46 | SEQ: 68793 | POS:132 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+47 | SEQ: 68794 | POS:133 | [   WAITING  ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+48 | SEQ: 68795 | POS:134 | [   WAITING  ] | [attack  |attack  |coin    ]
    T+49 | SEQ: 68796 | POS:135 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+50 | SEQ: 68797 | POS:136 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+51 | SEQ: 68798 | POS:137 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+52 | SEQ: 68799 | POS:138 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+53 | SEQ: 68800 | POS:139 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+54 | SEQ: 68801 | POS:140 | [   WAITING  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+55 | SEQ: 68802 | POS:141 | [   WAITING  ] | [attack  |attack  |coin    ]
    T+56 | SEQ: 68803 | POS:142 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+57 | SEQ: 68804 | POS:143 | [   WAITING  ] | [attack  |steal   |goldSack]
    T+58 | SEQ: 68805 | POS:144 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+59 | SEQ: 68806 | POS:145 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+60 | SEQ: 68807 | POS:146 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+61 | SEQ: 68808 | POS:147 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+62 | SEQ: 68809 | POS:148 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+63 | SEQ: 68810 | POS:149 | [   WAITING  ] | [accumula|accumula|coin    ]
    T+64 | SEQ: 68811 | POS:150 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+65 | SEQ: 68812 | POS:151 | [R01_COMBO   ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #008 | CurLen:  93 | Prev1: 151 | Prev2:  87 | Bets: 27 | Result: LATE HIT
    T-06 | SEQ: 68869 | POS: 57 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-05 | SEQ: 68870 | POS: 58 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-04 | SEQ: 68871 | POS: 59 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-03 | SEQ: 68872 | POS: 60 | [V5_EARLY_S  ] | [attack  |spins   |goldSack]
    T-02 | SEQ: 68873 | POS: 61 | [V5_EARLY_S  ] | [attack  |coin    |steal   ]
    T-01 | SEQ: 68874 | POS: 62 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack]
    T+00 | SEQ: 68875 | POS: 63 | [V5_EARLY_S  ] | [goldSack|goldSack|goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 68876 | POS: 64 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+02 | SEQ: 68877 | POS: 65 | [V5_EARLY_S  ] | [attack  |shield  |goldSack]
    T+03 | SEQ: 68878 | POS: 66 | [V5_EARLY_S  ] | [attack  |spins   |goldSack]
    T+04 | SEQ: 68879 | POS: 67 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+05 | SEQ: 68880 | POS: 68 | [V5_EARLY_S  ] | [spins   |spins   |spins   ] <--- MINOR [SPINS]
    T+06 | SEQ: 68881 | POS: 69 | [V5_EARLY_S  ] | [attack  |spins   |goldSack]
    T+07 | SEQ: 68882 | POS: 70 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+08 | SEQ: 68883 | POS: 71 | [V5_EARLY_S  ] | [attack  |shield  |goldSack]
    T+09 | SEQ: 68884 | POS: 72 | [V5_EARLY_S  ] | [attack  |attack  |coin    ]
    T+10 | SEQ: 68885 | POS: 73 | [   WAITING  ] | [attack  |attack  |coin    ] <--- *SUB-DUP*
    T+11 | SEQ: 68886 | POS: 74 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+12 | SEQ: 68887 | POS: 75 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+13 | SEQ: 68888 | POS: 76 | [   WAITING  ] | [accumula|accumula|coin    ]
    T+14 | SEQ: 68889 | POS: 77 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+15 | SEQ: 68890 | POS: 78 | [   WAITING  ] | [attack  |shield  |goldSack]
    T+16 | SEQ: 68891 | POS: 79 | [   WAITING  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+17 | SEQ: 68892 | POS: 80 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+18 | SEQ: 68893 | POS: 81 | [V5_EARLY_S  ] | [coin    |coin    |steal   ]
    T+19 | SEQ: 68894 | POS: 82 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+20 | SEQ: 68895 | POS: 83 | [V5_EARLY_S  ] | [accumula|accumula|coin    ]
    T+21 | SEQ: 68896 | POS: 84 | [V5_EARLY_S  ] | [coin    |steal   |steal   ]
    T+22 | SEQ: 68897 | POS: 85 | [V5_EARLY_S  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+23 | SEQ: 68898 | POS: 86 | [V5_EARLY_S  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+24 | SEQ: 68899 | POS: 87 | [V5_EARLY_S  ] | [coin    |coin    |steal   ]
    T+25 | SEQ: 68900 | POS: 88 | [V5_EARLY_S  ] | [accumula|goldSack|goldSack]
    T+26 | SEQ: 68901 | POS: 89 | [V5_EARLY_S  ] | [steal   |spins   |goldSack]
    T+27 | SEQ: 68902 | POS: 90 | [V5_EARLY_S  ] | [coin    |spins   |spins   ]
    T+28 | SEQ: 68903 | POS: 91 | [V5_EARLY_S  ] | [coin    |coin    |coin    ]
    T+29 | SEQ: 68904 | POS: 92 | [V5_EARLY_S  ] | [attack  |attack  |coin    ]
    T+30 | SEQ: 68905 | POS: 93 | [V5_EARLY_S  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #010 | CurLen: 129 | Prev1:  49 | Prev2:  93 | Bets: 1 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 69076 | POS:122 | [   WAITING  ] | [coin    |steal   |spins   ]
    T-04 | SEQ: 69077 | POS:123 | [   WAITING  ] | [attack  |steal   |goldSack]
    T-03 | SEQ: 69078 | POS:124 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-02 | SEQ: 69079 | POS:125 | [   WAITING  ] | [shield  |shield  |shield  ]
    T-01 | SEQ: 69080 | POS:126 | [   WAITING  ] | [attack  |steal   |goldSack]
    T+00 | SEQ: 69081 | POS:127 | [   WAITING  ] | [attack  |steal   |goldSack] <--- *NATURAL SIGNAL*
