=== HIGH CATCH PUSH TRACE: AHMED ===

========================================================================================================================
 TARGET: ACCUMULATION
========================================================================================================================

E0 | Gap #004 | Len:  55 | Result: MISSED
    T+40 | SEQ: 46615 | POS: 41 | [WAITING] | [steal   |spins   |goldSack]
    T-01 | SEQ: 46739 | POS:110 | [BASE_100    ] | [coin    |coin    |steal   ]
    T+00 | SEQ: 46740 | POS:111 | [BASE_100    ] | [coin    |coin    |steal   ] <--- [ HIGH BET $$$ ] (REEL DUP!) <--- !!! ENTRY !!!
    T+01 | SEQ: 46741 | POS:112 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] (CD)
    T+02 | SEQ: 46742 | POS:113 | [BASE_100    ] | [attack  |coin    |steal   ]
    T+03 | SEQ: 46743 | POS:114 | [BASE_100    ] | [coin    |spins   |spins   ]
    T+04 | SEQ: 46744 | POS:115 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T+05 | SEQ: 46745 | POS:116 | [BASE_100    ] | [coin    |coin    |coin    ] <--- [ HIGH BET $$$ ]
    T+06 | SEQ: 46746 | POS:117 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+07 | SEQ: 46747 | POS:118 | [BASE_100    ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK] (CD)
    T+08 | SEQ: 46748 | POS:119 | [BASE_100    ] | [attack  |shield  |goldSack]
    T+09 | SEQ: 46749 | POS:120 | [BASE_100    ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT
--------------------------------------------------------------------------------------------------------------

E0 | Gap #006 | Len: 135 | Result: CATCH
    T-05 | SEQ: 46874 | POS:125 | [BASE_100    ] | [coin    |coin    |coin    ]
    T-04 | SEQ: 46875 | POS:126 | [BASE_100    ] | [attack  |coin    |coin    ]
    T-03 | SEQ: 46876 | POS:127 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T-02 | SEQ: 46877 | POS:128 | [BASE_100    ] | [steal   |spins   |goldSack]
    T-01 | SEQ: 46878 | POS:129 | [BASE_100    ] | [accumula|accumula|coin    ]
    T+00 | SEQ: 46879 | POS:130 | [BASE_100    ] | [accumula|accumula|coin    ] <--- [ HIGH BET $$$ ] (REEL DUP!) <--- !!! ENTRY !!!
    T+01 | SEQ: 46880 | POS:131 | [BASE_100    ] | [steal   |spins   |goldSack] <--- [ HIGH BET $$$ ]
    T+02 | SEQ: 46881 | POS:132 | [BASE_100    ] | [coin    |coin    |coin    ] <--- [ HIGH BET $$$ ]
    T+03 | SEQ: 46882 | POS:133 | [BASE_100    ] | [attack  |coin    |coin    ] <--- [ HIGH BET $$$ ]
    T+04 | SEQ: 46883 | POS:134 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+05 | SEQ: 46884 | POS:135 | [BASE_100    ] | [accumula|accumula|accumula] <--- [ HIGH BET $$$ ] <--- 🎯 JACKPOT
--------------------------------------------------------------------------------------------------------------

E0 | Gap #007 | Len: 125 | Result: FAIL
    T-05 | SEQ: 46985 | POS:101 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T-04 | SEQ: 46986 | POS:102 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T-03 | SEQ: 46987 | POS:103 | [BASE_100    ] | [goldSack|goldSack|goldSack]
    T-02 | SEQ: 46988 | POS:104 | [BASE_100    ] | [coin    |coin    |steal   ]
    T-01 | SEQ: 46989 | POS:105 | [BASE_100    ] | [attack  |spins   |goldSack]
    T+00 | SEQ: 46990 | POS:106 | [BASE_100    ] | [attack  |spins   |goldSack] <--- [ HIGH BET $$$ ] (REEL DUP!) <--- !!! ENTRY !!!
    T+01 | SEQ: 46991 | POS:107 | [BASE_100    ] | [coin    |steal   |steal   ] <--- [ HIGH BET $$$ ]
    T+02 | SEQ: 46992 | POS:108 | [BASE_100    ] | [attack  |attack  |goldSack] <--- [ HIGH BET $$$ ]
    T+03 | SEQ: 46993 | POS:109 | [BASE_100    ] | [coin    |coin    |steal   ] <--- [ HIGH BET $$$ ]
    T+04 | SEQ: 46994 | POS:110 | [BASE_100    ] | [attack  |spins   |goldSack] <--- [ HIGH BET $$$ ]
    T+05 | SEQ: 46995 | POS:111 | [BASE_100    ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK] (CD)
    T+06 | SEQ: 46996 | POS:112 | [BASE_100    ] | [coin    |coin    |coin    ]
    T+07 | SEQ: 46997 | POS:113 | [BASE_100    ] | [coin    |coin    |steal   ]
    T+08 | SEQ: 46998 | POS:114 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T+09 | SEQ: 46999 | POS:115 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] <--- [ HIGH BET $$$ ]
    T+10 | SEQ: 47000 | POS:116 | [BASE_100    ] | [steal   |spins   |goldSack] <--- [ HIGH BET $$$ ]
    T+11 | SEQ: 47001 | POS:117 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+12 | SEQ: 47002 | POS:118 | [BASE_100    ] | [coin    |spins   |spins   ] <--- [ HIGH BET $$$ ]
    T+13 | SEQ: 47003 | POS:119 | [BASE_100    ] | [steal   |steal   |steal   ] <--- MINOR [STEAL] (CD)
    T+14 | SEQ: 47004 | POS:120 | [BASE_100    ] | [coin    |coin    |steal   ]
    T+15 | SEQ: 47005 | POS:121 | [BASE_100    ] | [shield  |goldSack|goldSack]
    T+16 | SEQ: 47006 | POS:122 | [BASE_100    ] | [attack  |attack  |goldSack]
    T+17 | SEQ: 47007 | POS:123 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] <--- [ HIGH BET $$$ ]
    T+18 | SEQ: 47008 | POS:124 | [BASE_100    ] | [steal   |spins   |goldSack] <--- [ HIGH BET $$$ ]
    T+19 | SEQ: 47009 | POS:125 | [BASE_100    ] | [accumula|accumula|accumula] <--- [ HIGH BET $$$ ] <--- 🎯 JACKPOT
--------------------------------------------------------------------------------------------------------------

E0 | Gap #008 | Len:  10 | Result: MISSED
    T+00 | SEQ: 47010 | POS:  1 | [WAITING] | [coin    |coin    |spins   ]
    T+01 | SEQ: 47011 | POS:  2 | [WAITING] | [spins   |spins   |spins   ] <--- MINOR [SPINS]
    T+02 | SEQ: 47012 | POS:  3 | [WAITING] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+03 | SEQ: 47013 | POS:  4 | [WAITING] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+04 | SEQ: 47014 | POS:  5 | [WAITING] | [coin    |coin    |coin    ]
    T+05 | SEQ: 47015 | POS:  6 | [WAITING] | [steal   |spins   |goldSack]
    T+06 | SEQ: 47016 | POS:  7 | [WAITING] | [attack  |coin    |coin    ]
    T+07 | SEQ: 47017 | POS:  8 | [WAITING] | [attack  |shield  |goldSack]
    T+08 | SEQ: 47018 | POS:  9 | [WAITING] | [accumula|accumula|coin    ]
    T+09 | SEQ: 47019 | POS: 10 | [WAITING] | [accumula|accumula|accumula] <--- 🎯 JACKPOT
--------------------------------------------------------------------------------------------------------------

E0 | Gap #009 | Len: 250 | Result: FAIL
    T-05 | SEQ: 47188 | POS:169 | [BASE_100    ] | [attack  |steal   |goldSack]
    T-04 | SEQ: 47189 | POS:170 | [BASE_100    ] | [steal   |spins   |goldSack]
    T-03 | SEQ: 47190 | POS:171 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T-02 | SEQ: 47191 | POS:172 | [BASE_100    ] | [attack  |steal   |goldSack]
    T-01 | SEQ: 47192 | POS:173 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 47193 | POS:174 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ] (REEL DUP!) <--- !!! ENTRY !!!
    T+01 | SEQ: 47194 | POS:175 | [BASE_100    ] | [steal   |steal   |goldSack] <--- [ HIGH BET $$$ ]
    T+02 | SEQ: 47195 | POS:176 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+03 | SEQ: 47196 | POS:177 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] (CD)
    T+04 | SEQ: 47197 | POS:178 | [BASE_100    ] | [coin    |coin    |coin    ]
    T+05 | SEQ: 47198 | POS:179 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T+06 | SEQ: 47199 | POS:180 | [BASE_100    ] | [attack  |steal   |goldSack]
    T+07 | SEQ: 47200 | POS:181 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] <--- [ HIGH BET $$$ ]
    T+08 | SEQ: 47201 | POS:182 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+09 | SEQ: 47202 | POS:183 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ] (REEL DUP!)
    T+10 | SEQ: 47203 | POS:184 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ] (REEL DUP!)
    T+11 | SEQ: 47204 | POS:185 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ] (REEL DUP!)
    T+12 | SEQ: 47205 | POS:186 | [BASE_100    ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK] (CD)
    T+13 | SEQ: 47206 | POS:187 | [BASE_100    ] | [coin    |spins   |spins   ]
    T+14 | SEQ: 47207 | POS:188 | [BASE_100    ] | [coin    |coin    |coin    ]
    T+15 | SEQ: 47208 | POS:189 | [BASE_100    ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+16 | SEQ: 47209 | POS:190 | [BASE_100    ] | [coin    |steal   |shield  ] <--- [ HIGH BET $$$ ]
    T+17 | SEQ: 47210 | POS:191 | [BASE_100    ] | [attack  |spins   |goldSack] <--- [ HIGH BET $$$ ]
    T+18 | SEQ: 47211 | POS:192 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] (CD)
    T+19 | SEQ: 47212 | POS:193 | [BASE_100    ] | [goldSack|goldSack|goldSack]
    T+20 | SEQ: 47213 | POS:194 | [BASE_100    ] | [coin    |coin    |spins   ]
    T+21 | SEQ: 47214 | POS:195 | [BASE_100    ] | [coin    |steal   |steal   ]
    T+22 | SEQ: 47215 | POS:196 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+23 | SEQ: 47216 | POS:197 | [BASE_100    ] | [spins   |spins   |spins   ] <--- MINOR [SPINS] (CD)
    T+24 | SEQ: 47217 | POS:198 | [BASE_100    ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+25 | SEQ: 47218 | POS:199 | [BASE_100    ] | [steal   |steal   |steal   ] <--- MINOR [STEAL] (CD) (REEL DUP!)
    T+26 | SEQ: 47219 | POS:200 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+27 | SEQ: 47220 | POS:201 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T+28 | SEQ: 47221 | POS:202 | [BASE_100    ] | [coin    |steal   |shield  ]
    T+29 | SEQ: 47222 | POS:203 | [BASE_100    ] | [attack  |steal   |goldSack] <--- [ HIGH BET $$$ ]
    T+30 | SEQ: 47223 | POS:204 | [BASE_100    ] | [coin    |coin    |coin    ] <--- [ HIGH BET $$$ ]
    T+31 | SEQ: 47224 | POS:205 | [BASE_100    ] | [steal   |steal   |steal   ] <--- MINOR [STEAL] (CD)
    T+32 | SEQ: 47225 | POS:206 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T+33 | SEQ: 47226 | POS:207 | [BASE_100    ] | [coin    |steal   |shield  ]
    T+34 | SEQ: 47227 | POS:208 | [BASE_100    ] | [attack  |spins   |goldSack]
    T+35 | SEQ: 47228 | POS:209 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+36 | SEQ: 47229 | POS:210 | [BASE_100    ] | [attack  |attack  |goldSack] <--- [ HIGH BET $$$ ]
    T+37 | SEQ: 47230 | POS:211 | [BASE_100    ] | [coin    |coin    |spins   ] <--- [ HIGH BET $$$ ]
    T+38 | SEQ: 47231 | POS:212 | [BASE_100    ] | [coin    |steal   |shield  ] <--- [ HIGH BET $$$ ]
    T+39 | SEQ: 47232 | POS:213 | [BASE_100    ] | [attack  |steal   |goldSack] <--- [ HIGH BET $$$ ]
    T+40 | SEQ: 47233 | POS:214 | [BASE_100    ] | [coin    |coin    |spins   ] <--- [ HIGH BET $$$ ]
    T+41 | SEQ: 47234 | POS:215 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+42 | SEQ: 47235 | POS:216 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ] (REEL DUP!)
    T+43 | SEQ: 47236 | POS:217 | [BASE_100    ] | [attack  |steal   |goldSack] <--- [ HIGH BET $$$ ]
    T+44 | SEQ: 47237 | POS:218 | [BASE_100    ] | [attack  |steal   |goldSack] <--- [ HIGH BET $$$ ] (REEL DUP!)
    T+45 | SEQ: 47238 | POS:219 | [BASE_100    ] | [coin    |spins   |spins   ] <--- [ HIGH BET $$$ ]
    T+46 | SEQ: 47239 | POS:220 | [BASE_100    ] | [coin    |coin    |spins   ] <--- [ HIGH BET $$$ ]
    T+47 | SEQ: 47240 | POS:221 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+48 | SEQ: 47241 | POS:222 | [BASE_100    ] | [shield  |goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+49 | SEQ: 47242 | POS:223 | [BASE_100    ] | [coin    |coin    |coin    ] <--- [ HIGH BET $$$ ]
    T+50 | SEQ: 47243 | POS:224 | [BASE_100    ] | [attack  |steal   |goldSack] <--- [ HIGH BET $$$ ]
    T+51 | SEQ: 47244 | POS:225 | [BASE_100    ] | [accumula|accumula|coin    ] <--- [ HIGH BET $$$ ]
    T+52 | SEQ: 47245 | POS:226 | [BASE_100    ] | [steal   |steal   |steal   ] <--- MINOR [STEAL] (CD)
    T+53 | SEQ: 47246 | POS:227 | [BASE_100    ] | [accumula|accumula|coin    ]
    T+54 | SEQ: 47247 | POS:228 | [BASE_100    ] | [attack  |steal   |goldSack]
    T+55 | SEQ: 47248 | POS:229 | [BASE_100    ] | [accumula|accumula|coin    ]
    T+56 | SEQ: 47249 | POS:230 | [BASE_100    ] | [coin    |coin    |spins   ] <--- [ HIGH BET $$$ ]
    T+57 | SEQ: 47250 | POS:231 | [BASE_100    ] | [attack  |attack  |coin    ] <--- [ HIGH BET $$$ ]
    T+58 | SEQ: 47251 | POS:232 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] (CD)
    T+59 | SEQ: 47252 | POS:233 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T+60 | SEQ: 47253 | POS:234 | [BASE_100    ] | [attack  |steal   |goldSack]
    T+61 | SEQ: 47254 | POS:235 | [BASE_100    ] | [attack  |spins   |goldSack]
    T+62 | SEQ: 47255 | POS:236 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+63 | SEQ: 47256 | POS:237 | [BASE_100    ] | [attack  |steal   |goldSack] <--- [ HIGH BET $$$ ]
    T+64 | SEQ: 47257 | POS:238 | [BASE_100    ] | [coin    |coin    |spins   ] <--- [ HIGH BET $$$ ]
    T+65 | SEQ: 47258 | POS:239 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+66 | SEQ: 47259 | POS:240 | [BASE_100    ] | [coin    |steal   |shield  ] <--- [ HIGH BET $$$ ]
    T+67 | SEQ: 47260 | POS:241 | [BASE_100    ] | [coin    |steal   |steal   ] <--- [ HIGH BET $$$ ]
    T+68 | SEQ: 47261 | POS:242 | [BASE_100    ] | [attack  |steal   |goldSack] <--- [ HIGH BET $$$ ]
    T+69 | SEQ: 47262 | POS:243 | [BASE_100    ] | [attack  |spins   |goldSack] <--- [ HIGH BET $$$ ]
    T+70 | SEQ: 47263 | POS:244 | [BASE_100    ] | [attack  |steal   |goldSack] <--- [ HIGH BET $$$ ]
    T+71 | SEQ: 47264 | POS:245 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+72 | SEQ: 47265 | POS:246 | [BASE_100    ] | [goldSack|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+73 | SEQ: 47266 | POS:247 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+74 | SEQ: 47267 | POS:248 | [BASE_100    ] | [goldSack|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+75 | SEQ: 47268 | POS:249 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] (CD)
    T+76 | SEQ: 47269 | POS:250 | [BASE_100    ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT
--------------------------------------------------------------------------------------------------------------

E0 | Gap #010 | Len:  57 | Result: FAIL
    T-05 | SEQ: 47285 | POS: 16 | [WAITING] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T-04 | SEQ: 47286 | POS: 17 | [WAITING] | [attack  |attack  |coin    ]
    T-03 | SEQ: 47287 | POS: 18 | [WAITING] | [attack  |steal   |goldSack]
    T-02 | SEQ: 47288 | POS: 19 | [WAITING] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T-01 | SEQ: 47289 | POS: 20 | [PRED] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 47290 | POS: 21 | [PRED] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ] (REEL DUP!) <--- !!! ENTRY !!!
    T+01 | SEQ: 47291 | POS: 22 | [PRED] | [goldSack|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+02 | SEQ: 47292 | POS: 23 | [PRED] | [coin    |coin    |spins   ] <--- [ HIGH BET $$$ ]
    T+03 | SEQ: 47293 | POS: 24 | [PRED] | [accumula|accumula|coin    ] <--- [ HIGH BET $$$ ]
    T+04 | SEQ: 47294 | POS: 25 | [PRED] | [steal   |steal   |steal   ] <--- MINOR [STEAL] (CD)
    T+05 | SEQ: 47295 | POS: 26 | [PRED] | [coin    |spins   |spins   ]
    T+06 | SEQ: 47296 | POS: 27 | [PRED] | [goldSack|goldSack|goldSack]
    T+07 | SEQ: 47297 | POS: 28 | [PRED] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+08 | SEQ: 47298 | POS: 29 | [PRED] | [goldSack|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+09 | SEQ: 47299 | POS: 30 | [PRED] | [coin    |coin    |spins   ] <--- [ HIGH BET $$$ ]
    T+10 | SEQ: 47300 | POS: 31 | [PRED] | [coin    |shield  |shield  ] <--- [ HIGH BET $$$ ]
    T+11 | SEQ: 47301 | POS: 32 | [PRED] | [coin    |coin    |spins   ] <--- [ HIGH BET $$$ ]
    T+12 | SEQ: 47302 | POS: 33 | [PRED] | [attack  |steal   |goldSack] <--- [ HIGH BET $$$ ]
    T+13 | SEQ: 47303 | POS: 34 | [PRED] | [coin    |steal   |steal   ] <--- [ HIGH BET $$$ ]
    T+14 | SEQ: 47304 | POS: 35 | [PRED] | [coin    |coin    |coin    ] <--- [ HIGH BET $$$ ]
    T+15 | SEQ: 47305 | POS: 36 | [PRED] | [attack  |spins   |goldSack] <--- [ HIGH BET $$$ ]
    T+16 | SEQ: 47306 | POS: 37 | [PRED] | [attack  |attack  |attack  ] <--- MINOR [ATTACK] (CD)
    T+17 | SEQ: 47307 | POS: 38 | [PRED] | [attack  |attack  |attack  ] <--- MINOR [ATTACK] (CD) (REEL DUP!)
    T+18 | SEQ: 47308 | POS: 39 | [PRED] | [steal   |spins   |goldSack]
    T+19 | SEQ: 47309 | POS: 40 | [PRED] | [coin    |steal   |steal   ]
    T+20 | SEQ: 47310 | POS: 41 | [PRED] | [accumula|goldSack|goldSack]
    T+21 | SEQ: 47311 | POS: 42 | [PRED] | [coin    |coin    |coin    ] <--- [ HIGH BET $$$ ]
    T+22 | SEQ: 47312 | POS: 43 | [PRED] | [coin    |spins   |spins   ] <--- [ HIGH BET $$$ ]
    T+23 | SEQ: 47313 | POS: 44 | [PRED] | [attack  |attack  |coin    ] <--- [ HIGH BET $$$ ]
    T+24 | SEQ: 47314 | POS: 45 | [PRED] | [accumula|accumula|coin    ] <--- [ HIGH BET $$$ ]
    T+25 | SEQ: 47315 | POS: 46 | [PRED] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] (CD)
    T+26 | SEQ: 47316 | POS: 47 | [PRED] | [attack  |attack  |goldSack]
    T+27 | SEQ: 47317 | POS: 48 | [PRED] | [coin    |steal   |steal   ]
    T+28 | SEQ: 47318 | POS: 49 | [PRED] | [accumula|goldSack|goldSack]
    T+29 | SEQ: 47319 | POS: 50 | [PRED] | [coin    |steal   |steal   ] <--- [ HIGH BET $$$ ]
    T+30 | SEQ: 47320 | POS: 51 | [PRED] | [attack  |coin    |coin    ] <--- [ HIGH BET $$$ ]
    T+31 | SEQ: 47321 | POS: 52 | [PRED] | [attack  |coin    |coin    ] <--- [ HIGH BET $$$ ] (REEL DUP!)
    T+32 | SEQ: 47322 | POS: 53 | [PRED] | [shield  |goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+33 | SEQ: 47323 | POS: 54 | [PRED] | [attack  |coin    |coin    ] <--- [ HIGH BET $$$ ]
    T+34 | SEQ: 47324 | POS: 55 | [PRED] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+35 | SEQ: 47325 | POS: 56 | [PRED] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] (CD)
    T+36 | SEQ: 47326 | POS: 57 | [PRED] | [accumula|accumula|accumula] <--- 🎯 JACKPOT
--------------------------------------------------------------------------------------------------------------

E0 | Gap #011 | Len:  13 | Result: CATCH
    T-05 | SEQ: 47328 | POS:  2 | [PRED] | [attack  |coin    |shield  ]
    T-04 | SEQ: 47329 | POS:  3 | [PRED] | [accumula|goldSack|goldSack]
    T-03 | SEQ: 47330 | POS:  4 | [PRED] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T-02 | SEQ: 47331 | POS:  5 | [PRED] | [attack  |coin    |shield  ]
    T-01 | SEQ: 47332 | POS:  6 | [PRED] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 47333 | POS:  7 | [PRED] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ] (REEL DUP!) <--- !!! ENTRY !!!
    T+01 | SEQ: 47334 | POS:  8 | [PRED] | [attack  |attack  |attack  ] <--- MINOR [ATTACK] (CD)
    T+02 | SEQ: 47335 | POS:  9 | [PRED] | [goldSack|goldSack|goldSack]
    T+03 | SEQ: 47336 | POS: 10 | [PRED] | [coin    |steal   |spins   ]
    T+04 | SEQ: 47337 | POS: 11 | [PRED] | [coin    |spins   |spins   ]
    T+05 | SEQ: 47338 | POS: 12 | [PRED] | [coin    |steal   |steal   ] <--- [ HIGH BET $$$ ]
    T+06 | SEQ: 47339 | POS: 13 | [PRED] | [accumula|accumula|accumula] <--- [ HIGH BET $$$ ] <--- 🎯 JACKPOT
--------------------------------------------------------------------------------------------------------------

E0 | Gap #012 | Len: 127 | Result: FAIL
    T-05 | SEQ: 47436 | POS: 97 | [WAITING] | [attack  |shield  |goldSack]
    T-04 | SEQ: 47437 | POS: 98 | [WAITING] | [attack  |coin    |shield  ]
    T-03 | SEQ: 47438 | POS: 99 | [WAITING] | [coin    |coin    |coin    ]
    T-02 | SEQ: 47439 | POS:100 | [BASE_100    ] | [coin    |steal   |steal   ]
    T-01 | SEQ: 47440 | POS:101 | [BASE_100    ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+00 | SEQ: 47441 | POS:102 | [BASE_100    ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK] (CD) (REEL DUP!) <--- !!! ENTRY !!!
    T+01 | SEQ: 47442 | POS:103 | [BASE_100    ] | [attack  |coin    |shield  ]
    T+02 | SEQ: 47443 | POS:104 | [BASE_100    ] | [accumula|goldSack|goldSack]
    T+03 | SEQ: 47444 | POS:105 | [BASE_100    ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+04 | SEQ: 47445 | POS:106 | [BASE_100    ] | [goldSack|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+05 | SEQ: 47446 | POS:107 | [BASE_100    ] | [coin    |shield  |shield  ] <--- [ HIGH BET $$$ ]
    T+06 | SEQ: 47447 | POS:108 | [BASE_100    ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK] (CD)
    T+07 | SEQ: 47448 | POS:109 | [BASE_100    ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+08 | SEQ: 47449 | POS:110 | [BASE_100    ] | [steal   |spins   |goldSack]
    T+09 | SEQ: 47450 | POS:111 | [BASE_100    ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+10 | SEQ: 47451 | POS:112 | [BASE_100    ] | [accumula|goldSack|goldSack] <--- [ HIGH BET $$$ ]
    T+11 | SEQ: 47452 | POS:113 | [BASE_100    ] | [attack  |attack  |coin    ] <--- [ HIGH BET $$$ ]
    T+12 | SEQ: 47453 | POS:114 | [BASE_100    ] | [attack  |spins   |goldSack] <--- [ HIGH BET $$$ ]
    T+13 | SEQ: 47454 | POS:115 | [BASE_100    ] | [coin    |coin    |coin    ] <--- [ HIGH BET $$$ ]
