=== MASTER TRACE: AHMED ===
Targets: ACCUMULATION and SPINS

####################################################################################################
 TARGET: ACCUMULATION
####################################################################################################

Gap #003 | CurLen:  11 | Prev1:  29 | Prev2: 132 | Result: MISSED (NAT DUP)
    T-03 | SEQ: 46564 | POS:  1 | [   WAITING  ] | [steal   |steal   |steal   ]
    T-63 | SEQ: 47130 | POS:111 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-62 | SEQ: 47131 | POS:112 | [R01_COMBO   ] | [steal   |steal   |goldSack]
    T-61 | SEQ: 47132 | POS:113 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T-60 | SEQ: 47133 | POS:114 | [R01_COMBO   ] | [attack  |attack  |coin    ]
    T-59 | SEQ: 47134 | POS:115 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-58 | SEQ: 47135 | POS:116 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-57 | SEQ: 47136 | POS:117 | [   WAITING  ] | [shield  |shield  |shield  ]
    T-56 | SEQ: 47137 | POS:118 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-55 | SEQ: 47138 | POS:119 | [   WAITING  ] | [spins   |spins   |goldSack]
    T-54 | SEQ: 47139 | POS:120 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-53 | SEQ: 47140 | POS:121 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-52 | SEQ: 47141 | POS:122 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-51 | SEQ: 47142 | POS:123 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-50 | SEQ: 47143 | POS:124 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-49 | SEQ: 47144 | POS:125 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T-48 | SEQ: 47145 | POS:126 | [R01_COMBO   ] | [attack  |attack  |goldSack]
    T-47 | SEQ: 47146 | POS:127 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T-46 | SEQ: 47147 | POS:128 | [R01_COMBO   ] | [attack  |coin    |spins   ]
    T-45 | SEQ: 47148 | POS:129 | [   WAITING  ] | [shield  |shield  |goldSack]
    T-44 | SEQ: 47149 | POS:130 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-43 | SEQ: 47150 | POS:131 | [R01_COMBO   ] | [attack  |coin    |spins   ]
    T-42 | SEQ: 47151 | POS:132 | [R01_COMBO   ] | [attack  |attack  |attack  ]
    T-41 | SEQ: 47152 | POS:133 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-40 | SEQ: 47153 | POS:134 | [R01_COMBO   ] | [steal   |steal   |steal   ]
    T-39 | SEQ: 47154 | POS:135 | [R01_COMBO   ] | [coin    |shield  |shield  ]
    T-38 | SEQ: 47155 | POS:136 | [   WAITING  ] | [coin    |spins   |spins   ]
    T-37 | SEQ: 47156 | POS:137 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-36 | SEQ: 47157 | POS:138 | [R01_COMBO   ] | [steal   |spins   |goldSack]
    T-35 | SEQ: 47158 | POS:139 | [R01_COMBO   ] | [coin    |coin    |steal   ]
    T-34 | SEQ: 47159 | POS:140 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-33 | SEQ: 47160 | POS:141 | [   WAITING  ] | [attack  |coin    |shield  ]
    T-32 | SEQ: 47161 | POS:142 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-31 | SEQ: 47162 | POS:143 | [   WAITING  ] | [coin    |coin    |spins   ]
    T-30 | SEQ: 47163 | POS:144 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-29 | SEQ: 47164 | POS:145 | [R01_COMBO   ] | [attack  |attack  |attack  ]
    T-28 | SEQ: 47165 | POS:146 | [R01_COMBO   ] | [steal   |steal   |steal   ]
    T-27 | SEQ: 47166 | POS:147 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-26 | SEQ: 47167 | POS:148 | [   WAITING  ] | [attack  |attack  |coin    ]
    T-25 | SEQ: 47168 | POS:149 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-24 | SEQ: 47169 | POS:150 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-23 | SEQ: 47170 | POS:151 | [   WAITING  ] | [attack  |attack  |coin    ]
    T-22 | SEQ: 47171 | POS:152 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-21 | SEQ: 47172 | POS:153 | [R01_COMBO   ] | [attack  |attack  |attack  ]
    T-20 | SEQ: 47173 | POS:154 | [   WAITING  ] | [steal   |steal   |steal   ]
    T-19 | SEQ: 47174 | POS:155 | [   WAITING  ] | [attack  |coin    |coin    ]
    T-18 | SEQ: 47175 | POS:156 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-17 | SEQ: 47176 | POS:157 | [R01_COMBO   ] | [attack  |coin    |coin    ]
    T-16 | SEQ: 47177 | POS:158 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-15 | SEQ: 47178 | POS:159 | [   WAITING  ] | [attack  |steal   |goldSack]
    T-14 | SEQ: 47179 | POS:160 | [DEEP_PITY   ] | [attack  |attack  |coin    ]
    T-13 | SEQ: 47180 | POS:161 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T-12 | SEQ: 47181 | POS:162 | [DEEP_PITY   ] | [steal   |spins   |goldSack]
    T-11 | SEQ: 47182 | POS:163 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T-10 | SEQ: 47183 | POS:164 | [DEEP_PITY   ] | [attack  |attack  |attack  ]
    T-09 | SEQ: 47184 | POS:165 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T-08 | SEQ: 47185 | POS:166 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T-07 | SEQ: 47186 | POS:167 | [DEEP_PITY   ] | [shield  |shield  |shield  ]
    T-06 | SEQ: 47187 | POS:168 | [DEEP_PITY   ] | [steal   |spins   |goldSack]
    T-05 | SEQ: 47188 | POS:169 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T-04 | SEQ: 47189 | POS:170 | [DEEP_PITY   ] | [steal   |spins   |goldSack]
    T-03 | SEQ: 47190 | POS:171 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T-02 | SEQ: 47191 | POS:172 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T-01 | SEQ: 47192 | POS:173 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 47193 | POS:174 | [DEEP_PITY   ] | [accumula|goldSack|goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 47194 | POS:175 | [DEEP_PITY   ] | [steal   |steal   |goldSack]
    T+02 | SEQ: 47195 | POS:176 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+03 | SEQ: 47196 | POS:177 | [DEEP_PITY   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+04 | SEQ: 47197 | POS:178 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+05 | SEQ: 47198 | POS:179 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+06 | SEQ: 47199 | POS:180 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T+07 | SEQ: 47200 | POS:181 | [DEEP_PITY   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+08 | SEQ: 47201 | POS:182 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+09 | SEQ: 47202 | POS:183 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+10 | SEQ: 47203 | POS:184 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+11 | SEQ: 47204 | POS:185 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+12 | SEQ: 47205 | POS:186 | [R01_COMBO   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+13 | SEQ: 47206 | POS:187 | [R01_COMBO   ] | [coin    |spins   |spins   ]
    T+14 | SEQ: 47207 | POS:188 | [R01_COMBO   ] | [coin    |coin    |coin    ]
    T+15 | SEQ: 47208 | POS:189 | [R01_COMBO   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+16 | SEQ: 47209 | POS:190 | [R01_COMBO   ] | [coin    |steal   |shield  ]
    T+17 | SEQ: 47210 | POS:191 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T+18 | SEQ: 47211 | POS:192 | [R01_COMBO   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+19 | SEQ: 47212 | POS:193 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+20 | SEQ: 47213 | POS:194 | [DEEP_PITY   ] | [coin    |coin    |spins   ]
    T+21 | SEQ: 47214 | POS:195 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T+22 | SEQ: 47215 | POS:196 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+23 | SEQ: 47216 | POS:197 | [DEEP_PITY   ] | [spins   |spins   |spins   ] <--- MINOR [SPINS]
    T+24 | SEQ: 47217 | POS:198 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+25 | SEQ: 47218 | POS:199 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL] <--- *SUB-DUP*
    T+26 | SEQ: 47219 | POS:200 | [DEEP_PITY   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+27 | SEQ: 47220 | POS:201 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+28 | SEQ: 47221 | POS:202 | [DEEP_PITY   ] | [coin    |steal   |shield  ]
    T+29 | SEQ: 47222 | POS:203 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T+30 | SEQ: 47223 | POS:204 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+31 | SEQ: 47224 | POS:205 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+32 | SEQ: 47225 | POS:206 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+33 | SEQ: 47226 | POS:207 | [DEEP_PITY   ] | [coin    |steal   |shield  ]
    T+34 | SEQ: 47227 | POS:208 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+35 | SEQ: 47228 | POS:209 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+36 | SEQ: 47229 | POS:210 | [DEEP_PITY   ] | [attack  |attack  |goldSack]
    T+37 | SEQ: 47230 | POS:211 | [DEEP_PITY   ] | [coin    |coin    |spins   ]
    T+38 | SEQ: 47231 | POS:212 | [DEEP_PITY   ] | [coin    |steal   |shield  ]
    T+39 | SEQ: 47232 | POS:213 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T+40 | SEQ: 47233 | POS:214 | [DEEP_PITY   ] | [coin    |coin    |spins   ]
    T+41 | SEQ: 47234 | POS:215 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+42 | SEQ: 47235 | POS:216 | [DEEP_PITY   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+43 | SEQ: 47236 | POS:217 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T+44 | SEQ: 47237 | POS:218 | [DEEP_PITY   ] | [attack  |steal   |goldSack] <--- *SUB-DUP*
    T+45 | SEQ: 47238 | POS:219 | [DEEP_PITY   ] | [coin    |spins   |spins   ]
    T+46 | SEQ: 47239 | POS:220 | [DEEP_PITY   ] | [coin    |coin    |spins   ]
    T+47 | SEQ: 47240 | POS:221 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+48 | SEQ: 47241 | POS:222 | [DEEP_PITY   ] | [shield  |goldSack|goldSack]
    T+49 | SEQ: 47242 | POS:223 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+50 | SEQ: 47243 | POS:224 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T+51 | SEQ: 47244 | POS:225 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T+52 | SEQ: 47245 | POS:226 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+53 | SEQ: 47246 | POS:227 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T+54 | SEQ: 47247 | POS:228 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T+55 | SEQ: 47248 | POS:229 | [R01_COMBO   ] | [accumula|accumula|coin    ]
    T+56 | SEQ: 47249 | POS:230 | [R01_COMBO   ] | [coin    |coin    |spins   ]
    T+57 | SEQ: 47250 | POS:231 | [R01_COMBO   ] | [attack  |attack  |coin    ]
    T+58 | SEQ: 47251 | POS:232 | [R01_COMBO   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+59 | SEQ: 47252 | POS:233 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+60 | SEQ: 47253 | POS:234 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T+61 | SEQ: 47254 | POS:235 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T+62 | SEQ: 47255 | POS:236 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+63 | SEQ: 47256 | POS:237 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T+64 | SEQ: 47257 | POS:238 | [R01_COMBO   ] | [coin    |coin    |spins   ]
    T+65 | SEQ: 47258 | POS:239 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+66 | SEQ: 47259 | POS:240 | [R01_COMBO   ] | [coin    |steal   |shield  ]
    T+67 | SEQ: 47260 | POS:241 | [R01_COMBO   ] | [coin    |steal   |steal   ]
    T+68 | SEQ: 47261 | POS:242 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T+69 | SEQ: 47262 | POS:243 | [R01_COMBO   ] | [attack  |spins   |goldSack]
    T+70 | SEQ: 47263 | POS:244 | [R01_COMBO   ] | [attack  |steal   |goldSack]
    T+71 | SEQ: 47264 | POS:245 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+72 | SEQ: 47265 | POS:246 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T+73 | SEQ: 47266 | POS:247 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T+74 | SEQ: 47267 | POS:248 | [R01_COMBO   ] | [goldSack|goldSack|goldSack]
    T+75 | SEQ: 47268 | POS:249 | [R01_COMBO   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+76 | SEQ: 47269 | POS:250 | [V5_SHIELD_L ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #010 | CurLen:  57 | Prev1: 250 | Prev2:  10 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 47316 | POS: 47 | [   WAITING  ] | [attack  |attack  |goldSack]
    T-04 | SEQ: 47317 | POS: 48 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-03 | SEQ: 47318 | POS: 49 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-02 | SEQ: 47319 | POS: 50 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-01 | SEQ: 47320 | POS: 51 | [   WAITING  ] | [attack  |coin    |coin    ]
    T+00 | SEQ: 47321 | POS: 52 | [   WAITING  ] | [attack  |coin    |coin    ] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 47322 | POS: 53 | [   WAITING  ] | [shield  |goldSack|goldSack]
    T+02 | SEQ: 47323 | POS: 54 | [   WAITING  ] | [attack  |coin    |coin    ]
    T+03 | SEQ: 47324 | POS: 55 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+04 | SEQ: 47325 | POS: 56 | [   WAITING  ] | [shield  |shield  |shield  ]
    T+05 | SEQ: 47326 | POS: 57 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #011 | CurLen:  13 | Prev1:  57 | Prev2: 250 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 47328 | POS:  2 | [   WAITING  ] | [attack  |coin    |shield  ]
    T-04 | SEQ: 47329 | POS:  3 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-03 | SEQ: 47330 | POS:  4 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-02 | SEQ: 47331 | POS:  5 | [   WAITING  ] | [attack  |coin    |shield  ]
    T-01 | SEQ: 47332 | POS:  6 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 47333 | POS:  7 | [   WAITING  ] | [accumula|goldSack|goldSack] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 47334 | POS:  8 | [   WAITING  ] | [attack  |attack  |attack  ]
    T+02 | SEQ: 47335 | POS:  9 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+03 | SEQ: 47336 | POS: 10 | [   WAITING  ] | [coin    |steal   |spins   ]
    T+04 | SEQ: 47337 | POS: 11 | [   WAITING  ] | [coin    |spins   |spins   ]
    T+05 | SEQ: 47338 | POS: 12 | [   WAITING  ] | [coin    |steal   |steal   ]
    T+06 | SEQ: 47339 | POS: 13 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #014 | CurLen:  59 | Prev1:  78 | Prev2: 127 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 47589 | POS: 45 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-04 | SEQ: 47590 | POS: 46 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-03 | SEQ: 47591 | POS: 47 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-02 | SEQ: 47592 | POS: 48 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-01 | SEQ: 47593 | POS: 49 | [   WAITING  ] | [coin    |steal   |steal   ]
    T+00 | SEQ: 47594 | POS: 50 | [   WAITING  ] | [coin    |steal   |steal   ] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 47595 | POS: 51 | [   WAITING  ] | [shield  |shield  |shield  ]
    T+02 | SEQ: 47596 | POS: 52 | [   WAITING  ] | [shield  |shield  |shield  ]
    T+03 | SEQ: 47597 | POS: 53 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+04 | SEQ: 47598 | POS: 54 | [   WAITING  ] | [accumula|accumula|coin    ]
    T+05 | SEQ: 47599 | POS: 55 | [   WAITING  ] | [attack  |coin    |steal   ]
    T+06 | SEQ: 47600 | POS: 56 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+07 | SEQ: 47601 | POS: 57 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+08 | SEQ: 47602 | POS: 58 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+09 | SEQ: 47603 | POS: 59 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #016 | CurLen: 117 | Prev1: 153 | Prev2:  59 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 47866 | POS: 83 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-04 | SEQ: 47867 | POS: 84 | [   WAITING  ] | [attack  |coin    |steal   ]
    T-03 | SEQ: 47868 | POS: 85 | [   WAITING  ] | [shield  |shield  |shield  ]
    T-02 | SEQ: 47869 | POS: 86 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-01 | SEQ: 47870 | POS: 87 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+00 | SEQ: 47871 | POS: 88 | [   WAITING  ] | [coin    |coin    |steal   ] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 47872 | POS: 89 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+02 | SEQ: 47873 | POS: 90 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #018 | CurLen:  54 | Prev1: 154 | Prev2:  90 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 48071 | POS: 44 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-04 | SEQ: 48072 | POS: 45 | [   WAITING  ] | [attack  |attack  |attack  ]
    T-03 | SEQ: 48073 | POS: 46 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-02 | SEQ: 48074 | POS: 47 | [   WAITING  ] | [coin    |steal   |steal   ]
    T-01 | SEQ: 48075 | POS: 48 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 48076 | POS: 49 | [   WAITING  ] | [accumula|goldSack|goldSack] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 48077 | POS: 50 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+02 | SEQ: 48078 | POS: 51 | [   WAITING  ] | [attack  |coin    |steal   ]
    T+03 | SEQ: 48079 | POS: 52 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+04 | SEQ: 48080 | POS: 53 | [   WAITING  ] | [spins   |spins   |spins   ]
    T+05 | SEQ: 48081 | POS: 54 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
