=== MASTER TRACE: NICK ===
Targets: ACCUMULATION and SPINS

####################################################################################################
 TARGET: ACCUMULATION
####################################################################################################

Gap #000 | CurLen:  51 | Prev1:   0 | Prev2:   0 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 60977 | POS: 70 | [   WAITING  ] | [attack  |coin    |steal   ]
    T-12 | SEQ: 61243 | POS:167 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T-11 | SEQ: 61244 | POS:168 | [DEEP_PITY   ] | [shield  |goldSack|goldSack]
    T-10 | SEQ: 61245 | POS:169 | [DEEP_PITY   ] | [coin    |spins   |spins   ]
    T-09 | SEQ: 61246 | POS:170 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T-08 | SEQ: 61247 | POS:171 | [DEEP_PITY   ] | [attack  |attack  |attack  ]
    T-07 | SEQ: 61248 | POS:172 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T-06 | SEQ: 61249 | POS:173 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T-05 | SEQ: 61250 | POS:174 | [DEEP_PITY   ] | [accumula|accumula|coin    ]
    T-04 | SEQ: 61251 | POS:175 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T-03 | SEQ: 61252 | POS:176 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T-02 | SEQ: 61253 | POS:177 | [DEEP_PITY   ] | [accumula|accumula|coin    ]
    T-01 | SEQ: 61254 | POS:178 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 61255 | POS:179 | [DEEP_PITY   ] | [accumula|goldSack|goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 61256 | POS:180 | [DEEP_PITY   ] | [coin    |coin    |spins   ]
    T+02 | SEQ: 61257 | POS:181 | [DEEP_PITY   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+03 | SEQ: 61258 | POS:182 | [DEEP_PITY   ] | [attack  |attack  |coin    ]
    T+04 | SEQ: 61259 | POS:183 | [DEEP_PITY   ] | [attack  |attack  |coin    ] <--- *SUB-DUP*
    T+05 | SEQ: 61260 | POS:184 | [DEEP_PITY   ] | [coin    |steal   |shield  ]
    T+06 | SEQ: 61261 | POS:185 | [DEEP_PITY   ] | [attack  |attack  |goldSack]
    T+07 | SEQ: 61262 | POS:186 | [DEEP_PITY   ] | [coin    |coin    |spins   ]
    T+08 | SEQ: 61263 | POS:187 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+09 | SEQ: 61264 | POS:188 | [DEEP_PITY   ] | [coin    |spins   |spins   ]
    T+10 | SEQ: 61265 | POS:189 | [DEEP_PITY   ] | [attack  |steal   |goldSack]
    T+11 | SEQ: 61266 | POS:190 | [DEEP_PITY   ] | [coin    |steal   |shield  ]
    T+12 | SEQ: 61267 | POS:191 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+13 | SEQ: 61268 | POS:192 | [DEEP_PITY   ] | [attack  |spins   |goldSack] <--- *SUB-DUP*
    T+14 | SEQ: 61269 | POS:193 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+15 | SEQ: 61270 | POS:194 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+16 | SEQ: 61271 | POS:195 | [DEEP_PITY   ] | [coin    |shield  |shield  ]
    T+17 | SEQ: 61272 | POS:196 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+18 | SEQ: 61273 | POS:197 | [DEEP_PITY   ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #003 | CurLen: 219 | Prev1: 197 | Prev2:  85 | Result: MISSED (NAT DUP)
    T-07 | SEQ: 61407 | POS:134 | [   WAITING  ] | [coin    |steal   |spins   ]
    T-06 | SEQ: 61408 | POS:135 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-05 | SEQ: 61409 | POS:136 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-04 | SEQ: 61410 | POS:137 | [V5_STEAL_M  ] | [accumula|accumula|coin    ]
    T-03 | SEQ: 61411 | POS:138 | [V5_STEAL_M  ] | [accumula|accumula|attack  ]
    T-02 | SEQ: 61412 | POS:139 | [V5_STEAL_M  ] | [coin    |coin    |steal   ]
    T-01 | SEQ: 61413 | POS:140 | [V5_STEAL_M  ] | [shield  |shield  |shield  ]
    T+00 | SEQ: 61414 | POS:141 | [V5_STEAL_M  ] | [shield  |shield  |shield  ] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 61415 | POS:142 | [V5_STEAL_M  ] | [coin    |spins   |spins   ]
    T+02 | SEQ: 61416 | POS:143 | [V5_STEAL_M  ] | [spins   |spins   |spins   ] <--- MINOR [SPINS]
    T+03 | SEQ: 61417 | POS:144 | [V5_STEAL_M  ] | [goldSack|goldSack|goldSack]
    T+04 | SEQ: 61418 | POS:145 | [V5_STEAL_M  ] | [coin    |shield  |shield  ]
    T+05 | SEQ: 61419 | POS:146 | [V5_STEAL_M  ] | [coin    |steal   |steal   ]
    T+06 | SEQ: 61420 | POS:147 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+07 | SEQ: 61421 | POS:148 | [   WAITING  ] | [coin    |coin    |coin    ] <--- *SUB-DUP*
    T+08 | SEQ: 61422 | POS:149 | [   WAITING  ] | [spins   |spins   |goldSack]
    T+09 | SEQ: 61423 | POS:150 | [   WAITING  ] | [spins   |spins   |goldSack] <--- *SUB-DUP*
    T+10 | SEQ: 61424 | POS:151 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+11 | SEQ: 61425 | POS:152 | [   WAITING  ] | [attack  |coin    |spins   ]
    T+12 | SEQ: 61426 | POS:153 | [V5_STEAL_M  ] | [accumula|accumula|goldSack]
    T+13 | SEQ: 61427 | POS:154 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+14 | SEQ: 61428 | POS:155 | [   WAITING  ] | [attack  |coin    |spins   ]
    T+15 | SEQ: 61429 | POS:156 | [   WAITING  ] | [spins   |spins   |spins   ] <--- MINOR [SPINS]
    T+16 | SEQ: 61430 | POS:157 | [   WAITING  ] | [shield  |goldSack|goldSack]
    T+17 | SEQ: 61431 | POS:158 | [   WAITING  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+18 | SEQ: 61432 | POS:159 | [   WAITING  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD] <--- *SUB-DUP*
    T+19 | SEQ: 61433 | POS:160 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+20 | SEQ: 61434 | POS:161 | [DEEP_PITY   ] | [attack  |coin    |spins   ]
    T+21 | SEQ: 61435 | POS:162 | [DEEP_PITY   ] | [steal   |spins   |goldSack]
    T+22 | SEQ: 61436 | POS:163 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+23 | SEQ: 61437 | POS:164 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+24 | SEQ: 61438 | POS:165 | [DEEP_PITY   ] | [attack  |attack  |coin    ]
    T+25 | SEQ: 61439 | POS:166 | [DEEP_PITY   ] | [attack  |coin    |spins   ]
    T+26 | SEQ: 61440 | POS:167 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+27 | SEQ: 61441 | POS:168 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+28 | SEQ: 61442 | POS:169 | [DEEP_PITY   ] | [shield  |shield  |goldSack]
    T+29 | SEQ: 61443 | POS:170 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+30 | SEQ: 61444 | POS:171 | [DEEP_PITY   ] | [spins   |spins   |goldSack]
    T+31 | SEQ: 61445 | POS:172 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+32 | SEQ: 61446 | POS:173 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+33 | SEQ: 61447 | POS:174 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+34 | SEQ: 61448 | POS:175 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+35 | SEQ: 61449 | POS:176 | [DEEP_PITY   ] | [coin    |spins   |spins   ]
    T+36 | SEQ: 61450 | POS:177 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T+37 | SEQ: 61451 | POS:178 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+38 | SEQ: 61452 | POS:179 | [DEEP_PITY   ] | [goldSack|goldSack|goldSack]
    T+39 | SEQ: 61453 | POS:180 | [DEEP_PITY   ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+40 | SEQ: 61454 | POS:181 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+41 | SEQ: 61455 | POS:182 | [DEEP_PITY   ] | [steal   |spins   |goldSack]
    T+42 | SEQ: 61456 | POS:183 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+43 | SEQ: 61457 | POS:184 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+44 | SEQ: 61458 | POS:185 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+45 | SEQ: 61459 | POS:186 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL] <--- *SUB-DUP*
    T+46 | SEQ: 61460 | POS:187 | [DEEP_PITY   ] | [steal   |spins   |goldSack]
    T+47 | SEQ: 61461 | POS:188 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+48 | SEQ: 61462 | POS:189 | [DEEP_PITY   ] | [attack  |coin    |coin    ]
    T+49 | SEQ: 61463 | POS:190 | [DEEP_PITY   ] | [steal   |spins   |goldSack]
    T+50 | SEQ: 61464 | POS:191 | [DEEP_PITY   ] | [steal   |spins   |goldSack] <--- *SUB-DUP*
    T+51 | SEQ: 61465 | POS:192 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+52 | SEQ: 61466 | POS:193 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+53 | SEQ: 61467 | POS:194 | [DEEP_PITY   ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+54 | SEQ: 61468 | POS:195 | [DEEP_PITY   ] | [coin    |steal   |spins   ]
    T+55 | SEQ: 61469 | POS:196 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+56 | SEQ: 61470 | POS:197 | [DEEP_PITY   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+57 | SEQ: 61471 | POS:198 | [DEEP_PITY   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+58 | SEQ: 61472 | POS:199 | [DEEP_PITY   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+59 | SEQ: 61473 | POS:200 | [DEEP_PITY   ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+60 | SEQ: 61474 | POS:201 | [DEEP_PITY   ] | [attack  |coin    |shield  ]
    T+61 | SEQ: 61475 | POS:202 | [DEEP_PITY   ] | [attack  |attack  |goldSack]
    T+62 | SEQ: 61476 | POS:203 | [DEEP_PITY   ] | [attack  |attack  |goldSack] <--- *SUB-DUP*
    T+63 | SEQ: 61477 | POS:204 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+64 | SEQ: 61478 | POS:205 | [DEEP_PITY   ] | [accumula|accumula|attack  ]
    T+65 | SEQ: 61479 | POS:206 | [DEEP_PITY   ] | [attack  |spins   |goldSack]
    T+66 | SEQ: 61480 | POS:207 | [DEEP_PITY   ] | [attack  |attack  |goldSack]
    T+67 | SEQ: 61481 | POS:208 | [DEEP_PITY   ] | [attack  |attack  |coin    ]
    T+68 | SEQ: 61482 | POS:209 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+69 | SEQ: 61483 | POS:210 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+70 | SEQ: 61484 | POS:211 | [DEEP_PITY   ] | [coin    |steal   |steal   ]
    T+71 | SEQ: 61485 | POS:212 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+72 | SEQ: 61486 | POS:213 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+73 | SEQ: 61487 | POS:214 | [DEEP_PITY   ] | [coin    |coin    |coin    ]
    T+74 | SEQ: 61488 | POS:215 | [DEEP_PITY   ] | [coin    |coin    |steal   ]
    T+75 | SEQ: 61489 | POS:216 | [V5_QUIET    ] | [goldSack|goldSack|goldSack]
    T+76 | SEQ: 61490 | POS:217 | [V5_QUIET    ] | [attack  |spins   |goldSack]
    T+77 | SEQ: 61491 | POS:218 | [V5_QUIET    ] | [attack  |spins   |goldSack] <--- *SUB-DUP*
    T+78 | SEQ: 61492 | POS:219 | [DEEP_PITY   ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #005 | CurLen: 116 | Prev1: 136 | Prev2: 219 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 61731 | POS:103 | [   WAITING  ] | [attack  |shield  |goldSack]
    T-04 | SEQ: 61732 | POS:104 | [   WAITING  ] | [attack  |spins   |goldSack]
    T-03 | SEQ: 61733 | POS:105 | [   WAITING  ] | [spins   |spins   |spins   ]
    T-02 | SEQ: 61734 | POS:106 | [   WAITING  ] | [attack  |attack  |coin    ]
    T-01 | SEQ: 61735 | POS:107 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+00 | SEQ: 61736 | POS:108 | [   WAITING  ] | [attack  |spins   |goldSack] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 61737 | POS:109 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+02 | SEQ: 61738 | POS:110 | [   WAITING  ] | [attack  |attack  |attack  ]
    T+03 | SEQ: 61739 | POS:111 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+04 | SEQ: 61740 | POS:112 | [   WAITING  ] | [attack  |spins   |goldSack]
    T+05 | SEQ: 61741 | POS:113 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+06 | SEQ: 61742 | POS:114 | [   WAITING  ] | [attack  |attack  |attack  ]
    T+07 | SEQ: 61743 | POS:115 | [   WAITING  ] | [steal   |steal   |steal   ]
    T+08 | SEQ: 61744 | POS:116 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #007 | CurLen:  19 | Prev1: 139 | Prev2: 116 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 61888 | POS:  5 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T-04 | SEQ: 61889 | POS:  6 | [   WAITING  ] | [shield  |shield  |shield  ]
    T-03 | SEQ: 61890 | POS:  7 | [   WAITING  ] | [coin    |spins   |spins   ]
    T-02 | SEQ: 61891 | POS:  8 | [   WAITING  ] | [coin    |coin    |spins   ]
    T-01 | SEQ: 61892 | POS:  9 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 61893 | POS: 10 | [   WAITING  ] | [accumula|goldSack|goldSack] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 61894 | POS: 11 | [   WAITING  ] | [steal   |steal   |steal   ]
    T+02 | SEQ: 61895 | POS: 12 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+03 | SEQ: 61896 | POS: 13 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+04 | SEQ: 61897 | POS: 14 | [   WAITING  ] | [attack  |steal   |goldSack]
    T+05 | SEQ: 61898 | POS: 15 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+06 | SEQ: 61899 | POS: 16 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+07 | SEQ: 61900 | POS: 17 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+08 | SEQ: 61901 | POS: 18 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+09 | SEQ: 61902 | POS: 19 | [   WAITING  ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #008 | CurLen: 110 | Prev1:  19 | Prev2: 139 | Result: MISSED (NAT DUP)
    T-05 | SEQ: 62003 | POS:101 | [   WAITING  ] | [attack  |coin    |shield  ]
    T-04 | SEQ: 62004 | POS:102 | [   WAITING  ] | [coin    |coin    |coin    ]
    T-03 | SEQ: 62005 | POS:103 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-02 | SEQ: 62006 | POS:104 | [   WAITING  ] | [accumula|accumula|coin    ]
    T-01 | SEQ: 62007 | POS:105 | [   WAITING  ] | [attack  |attack  |attack  ]
    T+00 | SEQ: 62008 | POS:106 | [   WAITING  ] | [attack  |attack  |attack  ] <--- *NATURAL SIGNAL*
    T+01 | SEQ: 62009 | POS:107 | [   WAITING  ] | [attack  |coin    |shield  ]
    T+02 | SEQ: 62010 | POS:108 | [   WAITING  ] | [steal   |spins   |goldSack]
    T+03 | SEQ: 62011 | POS:109 | [   WAITING  ] | [shield  |shield  |shield  ]
    T+04 | SEQ: 62012 | POS:110 | [R01_COMBO   ] | [accumula|accumula|accumula] <--- 🎯 JACKPOT 🎯
--------------------------------------------------------------------------------------------------------------------------------------------

Gap #009 | CurLen: 163 | Prev1: 110 | Prev2:  19 | Result: MISSED (NAT DUP)
    T-12 | SEQ: 62119 | POS:107 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T-11 | SEQ: 62120 | POS:108 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-10 | SEQ: 62121 | POS:109 | [   WAITING  ] | [shield  |goldSack|goldSack]
    T-09 | SEQ: 62122 | POS:110 | [R01_COMBO   ] | [steal   |steal   |goldSack]
    T-08 | SEQ: 62123 | POS:111 | [   WAITING  ] | [spins   |spins   |goldSack]
    T-07 | SEQ: 62124 | POS:112 | [R01_COMBO   ] | [accumula|goldSack|goldSack]
    T-06 | SEQ: 62125 | POS:113 | [R01_COMBO   ] | [spins   |spins   |goldSack]
    T-05 | SEQ: 62126 | POS:114 | [R01_COMBO   ] | [shield  |shield  |goldSack]
    T-04 | SEQ: 62127 | POS:115 | [   WAITING  ] | [attack  |attack  |goldSack]
    T-03 | SEQ: 62128 | POS:116 | [   WAITING  ] | [coin    |coin    |steal   ]
    T-02 | SEQ: 62129 | POS:117 | [   WAITING  ] | [steal   |spins   |goldSack]
    T-01 | SEQ: 62130 | POS:118 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+00 | SEQ: 62131 | POS:119 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- !!! SNIPER-TRIGGER !!!
    T+01 | SEQ: 62132 | POS:120 | [R01_COMBO   ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+02 | SEQ: 62133 | POS:121 | [R01_COMBO   ] | [attack  |coin    |spins   ]
    T+03 | SEQ: 62134 | POS:122 | [R01_COMBO   ] | [coin    |coin    |steal   ]
    T+04 | SEQ: 62135 | POS:123 | [R01_COMBO   ] | [attack  |attack  |goldSack]
    T+05 | SEQ: 62136 | POS:124 | [R01_COMBO   ] | [attack  |coin    |steal   ]
    T+06 | SEQ: 62137 | POS:125 | [R01_COMBO   ] | [coin    |coin    |steal   ]
    T+07 | SEQ: 62138 | POS:126 | [   WAITING  ] | [spins   |spins   |goldSack]
    T+08 | SEQ: 62139 | POS:127 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+09 | SEQ: 62140 | POS:128 | [   WAITING  ] | [steal   |steal   |goldSack]
    T+10 | SEQ: 62141 | POS:129 | [   WAITING  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+11 | SEQ: 62142 | POS:130 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+12 | SEQ: 62143 | POS:131 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+13 | SEQ: 62144 | POS:132 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+14 | SEQ: 62145 | POS:133 | [   WAITING  ] | [goldSack|goldSack|goldSack]
    T+15 | SEQ: 62146 | POS:134 | [   WAITING  ] | [attack  |shield  |goldSack]
    T+16 | SEQ: 62147 | POS:135 | [   WAITING  ] | [attack  |attack  |goldSack]
    T+17 | SEQ: 62148 | POS:136 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+18 | SEQ: 62149 | POS:137 | [V5_QUIET    ] | [goldSack|goldSack|goldSack]
    T+19 | SEQ: 62150 | POS:138 | [V5_QUIET    ] | [attack  |attack  |goldSack]
    T+20 | SEQ: 62151 | POS:139 | [V5_QUIET    ] | [goldSack|goldSack|goldSack]
    T+21 | SEQ: 62152 | POS:140 | [V5_QUIET    ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+22 | SEQ: 62153 | POS:141 | [   WAITING  ] | [attack  |attack  |goldSack]
    T+23 | SEQ: 62154 | POS:142 | [   WAITING  ] | [attack  |shield  |goldSack]
    T+24 | SEQ: 62155 | POS:143 | [   WAITING  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+25 | SEQ: 62156 | POS:144 | [   WAITING  ] | [steal   |steal   |goldSack]
    T+26 | SEQ: 62157 | POS:145 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+27 | SEQ: 62158 | POS:146 | [   WAITING  ] | [accumula|goldSack|goldSack] <--- *SUB-DUP*
    T+28 | SEQ: 62159 | POS:147 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+29 | SEQ: 62160 | POS:148 | [   WAITING  ] | [coin    |coin    |coin    ] <--- *SUB-DUP*
    T+30 | SEQ: 62161 | POS:149 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+31 | SEQ: 62162 | POS:150 | [   WAITING  ] | [shield  |shield  |shield  ] <--- MINOR [SHIELD]
    T+32 | SEQ: 62163 | POS:151 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+33 | SEQ: 62164 | POS:152 | [   WAITING  ] | [attack  |shield  |goldSack]
    T+34 | SEQ: 62165 | POS:153 | [   WAITING  ] | [coin    |coin    |steal   ]
    T+35 | SEQ: 62166 | POS:154 | [   WAITING  ] | [steal   |steal   |steal   ] <--- MINOR [STEAL]
    T+36 | SEQ: 62167 | POS:155 | [   WAITING  ] | [coin    |coin    |coin    ]
    T+37 | SEQ: 62168 | POS:156 | [   WAITING  ] | [attack  |attack  |attack  ] <--- MINOR [ATTACK]
    T+38 | SEQ: 62169 | POS:157 | [   WAITING  ] | [steal   |spins   |goldSack]
    T+39 | SEQ: 62170 | POS:158 | [   WAITING  ] | [accumula|goldSack|goldSack]
    T+40 | SEQ: 62171 | POS:159 | [   WAITING  ] | [steal   |spins   |goldSack]
    T+41 | SEQ: 62172 | POS:160 | [DEEP_PITY   ] | [accumula|goldSack|goldSack]
    T+42 | SEQ: 62173 | POS:161 | [DEEP_PITY   ] | [accumula|accumula|coin    ]
    T+43 | SEQ: 62174 | POS:162 | [DEEP_PITY   ] | [accumula|accumula|coin    ] <--- *SUB-DUP*
